Entity,Year,Life expectancy
Australia,1802,34.049999
Australia,1803,34.049999
Australia,1804,34.049999
Australia,1805,34.049999
Australia,1806,34.049999
Australia,1807,34.049999
Australia,1808,34.049999
Australia,1809,34.049999
Australia,1810,34.049999
Australia,1811,34.049999
Australia,1812,34.049999
Australia,1813,34.049999
Australia,1814,34.049999
Australia,1815,34.049999
Australia,1816,34.049999
Australia,1817,34.049999
Australia,1818,34.049999
Australia,1819,34.049999
Australia,1820,34.049999
Australia,1821,34.049999
Australia,1822,34.049999
Australia,1823,34.049999
Australia,1824,34.049999
Australia,1825,34.049999
Australia,1826,34.049999
Australia,1827,34.049999
Australia,1828,34.049999
Australia,1829,34.049999
Australia,1830,34.049999
Australia,1831,34.049999
Australia,1832,34.049999
Australia,1833,34.049999
Australia,1834,34.049999
Australia,1835,34.049999
Australia,1836,34.049999
Australia,1837,34.049999
Australia,1838,34.049999
Australia,1839,34.049999
Australia,1840,34.049999
Australia,1841,34.049999
Australia,1842,34.049999
Australia,1843,34.049999
Australia,1844,34.049999
Australia,1845,34.049999
Australia,1846,34.049999
Australia,1847,34.049999
Australia,1848,34.049999
Australia,1849,34.049999
Australia,1850,34.049999
Australia,1851,34.049999
Australia,1852,34.049999
Australia,1853,34.049999
Australia,1854,34.049999
Australia,1855,34.049999
Australia,1856,34.049999
Australia,1857,34.049999
Australia,1858,34.049999
Australia,1859,34.049999
Australia,1860,34.049999
Australia,1861,34.049999
Australia,1862,34.049999
Australia,1863,34.049999
Australia,1864,34.049999
Australia,1865,34.049999
Australia,1866,34.049999
Australia,1867,34.049999
Australia,1868,34.049999
Australia,1869,34.049999
Australia,1870,34.049999
Australia,1871,34.579216
Australia,1872,35.108433
Australia,1873,35.637646
Australia,1874,36.166862
Australia,1875,36.696079
Australia,1876,37.225296
Australia,1877,37.754509
Australia,1878,38.283726
Australia,1879,38.812943
Australia,1880,39.342155
Australia,1881,39.871372
Australia,1882,40.400589
Australia,1883,40.929806
Australia,1884,41.459019
Australia,1885,41.988235
Australia,1886,42.517452
Australia,1887,43.046665
Australia,1888,43.575882
Australia,1889,44.105099
Australia,1890,44.634315
Australia,1891,45.163528
Australia,1892,45.692745
Australia,1893,46.221962
Australia,1894,46.751175
Australia,1895,47.280392
Australia,1896,47.809608
Australia,1897,48.338825
Australia,1898,48.868038
Australia,1899,49.397255
Australia,1900,49.926472
Australia,1901,50.455685
Australia,1902,50.984901
Australia,1903,51.514118
Australia,1904,52.043335
Australia,1905,52.572548
Australia,1906,53.101765
Australia,1907,53.630981
Australia,1908,54.160194
Australia,1909,54.689411
Australia,1910,55.218628
Australia,1911,55.747845
Australia,1912,56.277058
Australia,1913,56.806274
Australia,1914,57.335491
Australia,1915,57.864704
Australia,1916,58.393921
Australia,1917,58.923138
Australia,1918,54.802391
Australia,1919,59.981567
Australia,1920,60.510784
Australia,1921,61.040001
Australia,1922,62.889999
Australia,1923,61.73
Australia,1924,62.529999
Australia,1925,63.220001
Australia,1926,62.939999
Australia,1927,62.91
Australia,1928,62.959999
Australia,1929,63.150002
Australia,1930,64.959999
Australia,1931,65.389999
Australia,1932,65.690002
Australia,1933,65.519997
Australia,1934,64.879997
Australia,1935,65.150002
Australia,1936,65.269997
Australia,1937,65.830002
Australia,1938,65.870003
Australia,1939,65.82
Australia,1940,66.260002
Australia,1941,66.139999
Australia,1942,65.879997
Australia,1943,66.400002
Australia,1944,68.029999
Australia,1945,68.459999
Australia,1946,67.980003
Australia,1947,68.589996
Australia,1948,68.510002
Australia,1949,69.129997
Australia,1950,69.019997
Australia,1951,68.720001
Australia,1952,69.120003
Australia,1953,69.699997
Australia,1954,69.849998
Australia,1955,70.169998
Australia,1956,70.050003
Australia,1957,70.330002
Australia,1958,70.879997
Australia,1959,70.449997
Australia,1960,70.889999
Australia,1961,71.160004
Australia,1962,70.93
Australia,1963,70.989998
Australia,1964,70.650002
Australia,1965,70.980003
Australia,1966,70.82
Australia,1967,71.099998
Australia,1968,70.730003
Australia,1969,71.139999
Australia,1970,70.809998
Australia,1971,71.410004
Australia,1972,71.93
Australia,1973,72.139999
Australia,1974,71.889999
Australia,1975,72.839996
Australia,1976,72.879997
Australia,1977,73.489998
Australia,1978,73.879997
Australia,1979,74.440002
Australia,1980,74.599998
Australia,1981,74.959999
Australia,1982,74.739998
Australia,1983,75.550003
Australia,1984,76.019997
Australia,1985,75.449997
Australia,1986,76.129997
Australia,1987,76.32
Australia,1988,76.349998
Australia,1989,76.449997
Australia,1990,77.019997
Australia,1991,77.389999
Australia,1992,77.620003
Australia,1993,77.889999
Australia,1994,78.050003
Australia,1995,78.300003
Australia,1996,78.5
Australia,1997,78.800003
Australia,1998,79.110001
Australia,1999,79.400002
Australia,2000,79.709999
Australia,2001,80.019997
Australia,2002,80.239998
Australia,2003,80.540001
Australia,2004,80.809998
Australia,2005,81.089996
Australia,2006,81.269997
Australia,2007,81.43
Australia,2008,81.580002
Australia,2009,81.790001
Australia,2010,81.989998
Australia,2011,82.150002
Australia,2012,82.330002
Australia,2013,82.529999
Australia,2014,82.580002
Australia,2015,82.550003
Australia,2016,82.519997
Canada,1800,39
Canada,1801,39.001495
Canada,1802,39.002995
Canada,1803,39.00449
Canada,1804,39.005985
Canada,1805,39.007484
Canada,1806,39.00898
Canada,1807,39.010479
Canada,1808,39.011974
Canada,1809,39.01347
Canada,1810,39.014969
Canada,1811,39.016464
Canada,1812,39.01796
Canada,1813,39.019459
Canada,1814,39.020954
Canada,1815,39.022453
Canada,1816,39.023949
Canada,1817,39.025444
Canada,1818,39.026943
Canada,1819,39.028439
Canada,1820,39.029934
Canada,1821,39.031433
Canada,1822,39.032928
Canada,1823,39.034428
Canada,1824,39.035923
Canada,1825,39.037418
Canada,1826,39.038918
Canada,1827,39.040413
Canada,1828,39.041908
Canada,1829,39.043407
Canada,1830,39.044903
Canada,1831,39.046398
Canada,1832,39.173481
Canada,1833,39.30056
Canada,1834,39.427639
Canada,1835,39.554722
Canada,1836,39.681801
Canada,1837,39.80888
Canada,1838,39.935959
Canada,1839,40.063042
Canada,1840,40.190121
Canada,1841,40.3172
Canada,1842,40.391449
Canada,1843,40.465694
Canada,1844,40.539944
Canada,1845,40.614193
Canada,1846,40.688438
Canada,1847,40.762688
Canada,1848,40.836937
Canada,1849,40.911182
Canada,1850,40.985432
Canada,1851,41.059681
Canada,1852,41.113216
Canada,1853,41.166752
Canada,1854,41.220287
Canada,1855,41.273823
Canada,1856,41.327358
Canada,1857,41.380898
Canada,1858,41.434433
Canada,1859,41.487968
Canada,1860,41.541504
Canada,1861,41.595039
Canada,1862,41.691216
Canada,1863,41.787392
Canada,1864,41.883568
Canada,1865,41.979744
Canada,1866,42.07592
Canada,1867,42.172096
Canada,1868,42.268272
Canada,1869,42.364449
Canada,1870,42.460625
Canada,1871,42.556801
Canada,1872,42.774097
Canada,1873,42.99139
Canada,1874,43.208687
Canada,1875,43.425983
Canada,1876,43.64328
Canada,1877,43.860577
Canada,1878,44.077873
Canada,1879,44.29517
Canada,1880,44.512463
Canada,1881,44.729759
Canada,1882,44.7742
Canada,1883,44.818642
Canada,1884,44.863079
Canada,1885,44.90752
Canada,1886,44.951962
Canada,1887,44.996399
Canada,1888,45.04084
Canada,1889,45.085281
Canada,1890,45.129719
Canada,1891,45.17416
Canada,1892,45.520191
Canada,1893,45.866222
Canada,1894,46.212257
Canada,1895,46.558289
Canada,1896,46.90432
Canada,1897,47.250351
Canada,1898,47.596382
Canada,1899,47.942417
Canada,1900,48.288448
Canada,1901,48.63448
Canada,1902,49.022095
Canada,1903,49.409714
Canada,1904,49.797329
Canada,1905,50.184944
Canada,1906,50.572559
Canada,1907,50.960175
Canada,1908,51.347794
Canada,1909,51.735409
Canada,1910,52.123024
Canada,1911,52.510639
Canada,1912,52.961575
Canada,1913,53.412514
Canada,1914,53.863449
Canada,1915,54.314384
Canada,1916,54.76532
Canada,1917,55.216255
Canada,1918,47.169968
Canada,1919,56.11813
Canada,1920,56.569065
Canada,1921,57.02
Canada,1922,57.02
Canada,1923,57.02
Canada,1924,58.830002
Canada,1925,59.310001
Canada,1926,57.990002
Canada,1927,58.68
Canada,1928,58.57
Canada,1929,57.970001
Canada,1930,58.950001
Canada,1931,60.360001
Canada,1932,61.43
Canada,1933,62.360001
Canada,1934,62.77
Canada,1935,62.490002
Canada,1936,62.720001
Canada,1937,61.349998
Canada,1938,63.310001
Canada,1939,63.740002
Canada,1940,64.010002
Canada,1941,63.759998
Canada,1942,64.699997
Canada,1943,64.610001
Canada,1944,65.349998
Canada,1945,66.330002
Canada,1946,66.529999
Canada,1947,66.779999
Canada,1948,67.330002
Canada,1949,67.650002
Canada,1950,68.279999
Canada,1951,68.550003
Canada,1952,68.75
Canada,1953,69.129997
Canada,1954,69.989998
Canada,1955,70.050003
Canada,1956,70.040001
Canada,1957,69.959999
Canada,1958,70.620003
Canada,1959,70.660004
Canada,1960,71.040001
Canada,1961,71.269997
Canada,1962,71.300003
Canada,1963,71.309998
Canada,1964,71.690002
Canada,1965,71.790001
Canada,1966,71.919998
Canada,1967,72.129997
Canada,1968,72.290001
Canada,1969,72.449997
Canada,1970,72.650002
Canada,1971,72.980003
Canada,1972,72.879997
Canada,1973,73.110001
Canada,1974,73.190002
Canada,1975,73.489998
Canada,1976,73.919998
Canada,1977,74.209999
Canada,1978,74.540001
Canada,1979,74.900002
Canada,1980,75.139999
Canada,1981,75.550003
Canada,1982,75.760002
Canada,1983,76.129997
Canada,1984,76.43
Canada,1985,76.410004
Canada,1986,76.559998
Canada,1987,76.860001
Canada,1988,76.93
Canada,1989,77.199997
Canada,1990,77.43
Canada,1991,77.610001
Canada,1992,77.760002
Canada,1993,77.82
Canada,1994,77.93
Canada,1995,78.07
Canada,1996,78.309998
Canada,1997,78.57
Canada,1998,78.779999
